playlist name,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,loudness,valence
Morning Refresh,0.680493333333,0.176082666667,119.796893333,0.08054,0.202032533333,0.0225722218667,0.635813333333,-7.20201333333,0.71384
,0.157511004765,0.127742264865,27.6279273213,0.0657199411645,0.176727473722,0.0838647264145,0.157360621362,3.15325678199,0.184881947199

Ready for the Day,0.82602,0.190304,129.19962,0.064782,0.06700755,0.0428678954,0.5692,-5.21204,0.58312
,0.093997976574,0.12518908093,29.6659463991,0.0465806555986,0.115800913575,0.110486332064,0.115027996592,1.7604669376,0.224465288185

Wake Up Happy,0.709056818182,0.156729545455,112.191181818,0.0652556818182,0.166493272727,0.00111970772727,0.678034090909,-5.50929545455,0.51605
,0.13170657452,0.10417003818,17.4451999087,0.0393823300766,0.177261473755,0.00513175938037,0.0989982149591,1.77615114503,0.18049921745

Get Happy!,0.763776315789,0.194339473684,125.536855263,0.0806921052632,0.138938157895,0.0215341484211,0.656631578947,-5.50751315789,0.700986842105
,0.122973317461,0.157701794769,29.8906083867,0.0595245432865,0.161980140415,0.109456527034,0.125015456108,1.84522121405,0.186424705658

It's ALT Good!,0.84407,0.201049,119.78363,0.053525,0.030422359,0.0314846036,0.55662,-4.78144,0.52394
,0.0793627437782,0.132656140073,23.0009213384,0.0268769506269,0.0796962761442,0.120540884371,0.109322072794,1.32602525858,0.186793298595

Happy Folk,0.66027654321,0.142850617284,119.325716049,0.050749382716,0.28821691358,0.0425614162963,0.584444444444,-7.13279012346,0.568074074074
,0.181829114098,0.0877752856516,27.2627338145,0.0485617466774,0.266920969067,0.147742338334,0.130724382567,2.36062111891,0.220720245134

Have a Great Day!,0.69346,0.169371,119.06444,0.057366,0.2351973,0.0071016181,0.64582,-7.77987,0.74185
,0.171834014095,0.156492373805,21.2794235924,0.0489166785872,0.216000381513,0.0305230597712,0.111540071723,2.88094298331,0.199053780421

Spring Break,0.725683333333,0.159715,113.110366667,0.0814466666667,0.157234833333,0.00361600733333,0.6754,-5.17571666667,0.535366666667
,0.111692955861,0.103308708612,21.4861292783,0.0608658866325,0.15151488087,0.0154446522404,0.0949264978813,1.60385740318,0.168637873036

